nom_hotel,url,marque
PREMIERE CLASSE VIERZON,https://www.tripadvisor.fr/Hotel_Review-g196550-d614629-Reviews-Premiere_Classe_Vierzon-Vierzon_Cher_Berry_Centre_Val_de_Loire.html,PREMIERE CLASSE
CAMPANILE ALENCON,https://www.tripadvisor.fr/Hotel_Review-g1165142-d482413-Reviews-Campanile_Alencon_Hotel-Cerise_Alencon_Orne_Basse_Normandie_Normandy.html,CAMPANILE
CAMPANILE BRIVE LA GAILLARDE OUEST,https://www.tripadvisor.fr/Hotel_Review-g196612-d287171-Reviews-Campanile_Brive_La_Gaillarde_Ouest-Brive_la_Gaillarde_Correze_Nouvelle_Aquitaine.html,CAMPANILE
KYRIAD NANCY OUEST - Laxou Zenith,https://www.tripadvisor.fr/Hotel_Review-g661493-d488397-Reviews-Kyriad_Nancy_Ouest_Laxou_Zenith-Maxeville_Meurthe_et_Moselle_Grand_Est.html,KYRIAD
PREMIERE CLASSE LYON EST - Aéroport Saint Exupéry,https://www.tripadvisor.fr/Hotel_Review-g608821-d652441-Reviews-Premiere_Classe_Lyon_Est_Aeroport_Saint_Exupery-Saint_Laurent_de_Mure_Rhone_Auvergne_Rh.html,PREMIERE CLASSE
PREMIERE CLASSE LYON EST - Saint Priest Eurexpo,https://www.tripadvisor.fr/Hotel_Review-g1166685-d6588002-Reviews-Premiere_Classe_Lyon_Est_Saint_Priest_Eurexpo-Saint_Priest_Rhone_Auvergne_Rhone_Alpes.html,PREMIERE CLASSE
PREMIERE CLASSE BIARRITZ,https://www.tripadvisor.fr/Hotel_Review-g187080-d651038-Reviews-Hotel_Premiere_Classe_Biarritz-Biarritz_Basque_Country_Pyrenees_Atlantiques_Nouvelle_Aq.html,PREMIERE CLASSE
CAMPANILE MARSEILLE - Saint Antoine,https://www.tripadvisor.fr/Hotel_Review-g187253-d280166-Reviews-Campanile_Marseille_Saint_Antoine-Marseille_Bouches_du_Rhone_Provence_Alpes_Cote_d_Azur.html,CAMPANILE
CAMPANILE PARIS 19 - La Villette,https://www.tripadvisor.fr/Hotel_Review-g187147-d233767-Reviews-Campanile_Prime_Paris_19_La_Villette-Paris_Ile_de_France.html,CAMPANILE
CAMPANILE VILLENNES SUR SEINE - Poissy,https://www.tripadvisor.fr/Hotel_Review-g661230-d487817-Reviews-Campanile_Villennes_Sur_Seine_Poissy-Villennes_sur_Seine_Yvelines_Ile_de_France.html,CAMPANILE
CAMPANILE CHANTILLY,https://www.tripadvisor.fr/Hotel_Review-g641875-d235794-Reviews-Campanile_Chantilly-Gouvieux_Chantilly_Oise_Hauts_de_France.html,CAMPANILE
PREMIERE CLASSE VERSAILLES - St-Cyr-l'Ecole,https://www.tripadvisor.fr/Hotel_Review-g1055979-d2484654-Reviews-Premiere_Classe_Versailles_St_Cyr_l_Ecole-Saint_Cyr_l_Ecole_Yvelines_Ile_de_France.html,PREMIERE CLASSE
KYRIAD Design ENZO VIERZON,https://www.tripadvisor.fr/Hotel_Review-g196550-d197154-Reviews-Kyriad_Design_Enzo_Vierzon-Vierzon_Cher_Berry_Centre_Val_de_Loire.html,KYRIAD
PREMIERE CLASSE LILLE - Villeneuve d'Ascq - Stade Pierre Mauroy,https://www.tripadvisor.fr/Hotel_Review-g1080555-d488886-Reviews-Premiere_Classe_Lille_Est_Stade_Pierre_Mauroy-Lezennes_Nord_Hauts_de_France.html,PREMIERE CLASSE
PREMIERE CLASSE BREST - Gouesnou Aéroport,https://www.tripadvisor.fr/Hotel_Review-g661479-d644576-Reviews-Premiere_Classe_Brest_Gouesnou_Aeroport-Gouesnou_Brest_Finistere_Brittany.html,PREMIERE CLASSE
CAMPANILE NOGENT SUR MARNE,https://www.tripadvisor.fr/Hotel_Review-g196582-d287161-Reviews-Campanile_Nogent_Sur_Marne-Nogent_sur_Marne_Val_de_Marne_Ile_de_France.html,CAMPANILE
CAMPANILE DIJON EST - Saint Apollinaire,https://www.tripadvisor.fr/Hotel_Review-g651708-d565376-Reviews-Campanile_Dijon_Est_Saint_Apollinaire-Saint_Apollinaire_Cote_d_Or_Bourgogne_Franche_Com.html,CAMPANILE
